elapsed_time,power,smooth_power
0 days 00:02:53,0.0,63.43333333333333
0 days 00:02:54,158.0,66.13333333333334
0 days 00:02:55,232.0,76.7
0 days 00:02:56,187.0,91.16666666666667
0 days 00:02:57,254.0,107.86666666666666
0 days 00:02:58,254.0,119.03333333333333
0 days 00:02:59,84.0,127.9
0 days 00:03:00,0.0,132.16666666666666
0 days 00:03:01,0.0,135.86666666666667
0 days 00:03:02,0.0,141.1
0 days 00:03:03,0.0,143.46666666666667
0 days 00:03:04,0.0,147.26666666666668
0 days 00:03:05,0.0,153.33333333333334
0 days 00:03:06,0.0,161.03333333333333
0 days 00:03:07,0.0,171.33333333333334
0 days 00:03:08,207.0,182.36666666666667
0 days 00:03:09,443.0,192.23333333333332
0 days 00:03:10,518.0,194.93333333333334
0 days 00:03:11,501.0,194.76666666666668
0 days 00:03:12,335.0,195.53333333333333
0 days 00:03:13,266.0,195.56666666666666
0 days 00:03:14,128.0,194.2
0 days 00:03:15,111.0,198.43333333333334
0 days 00:03:16,247.0,205.43333333333334
0 days 00:03:17,174.0,211.36666666666667
0 days 00:03:18,191.0,217.5
0 days 00:03:19,259.0,223.03333333333333
0 days 00:03:20,282.0,228.46666666666667
0 days 00:03:21,309.0,234.2
0 days 00:03:22,331.0,240.2
0 days 00:03:23,296.0,246.06666666666666
0 days 00:03:24,239.0,244.76666666666668
0 days 00:03:25,227.0,234.9
0 days 00:03:26,210.0,222.66666666666666
0 days 00:03:27,255.0,210.33333333333334
0 days 00:03:28,213.0,204.0
0 days 00:03:29,211.0,203.43333333333334
0 days 00:03:30,210.0,207.26666666666668
0 days 00:03:31,178.0,210.96666666666667
0 days 00:03:32,184.0,208.36666666666667
0 days 00:03:33,166.0,209.7
0 days 00:03:34,163.0,209.5
0 days 00:03:35,172.0,206.83333333333334
0 days 00:03:36,180.0,202.93333333333334
0 days 00:03:37,176.0,201.56666666666666
0 days 00:03:38,168.0,198.4
0 days 00:03:39,147.0,197.8
0 days 00:03:40,151.0,198.1
0 days 00:03:41,131.0,197.1
0 days 00:03:42,145.0,195.66666666666666
0 days 00:03:43,249.0,193.4
0 days 00:03:44,243.0,191.83333333333334
0 days 00:03:45,222.0,189.5
0 days 00:03:46,169.0,187.73333333333332
0 days 00:03:47,214.0,188.56666666666666
0 days 00:03:48,185.0,187.23333333333332
0 days 00:03:49,179.0,185.66666666666666
0 days 00:03:50,165.0,184.76666666666668
0 days 00:03:51,268.0,185.16666666666666
0 days 00:03:52,236.0,186.86666666666667
0 days 00:03:53,278.0,189.7
0 days 00:03:54,248.0,197.2
0 days 00:03:55,197.0,203.43333333333334
0 days 00:03:56,167.0,208.0
0 days 00:03:57,187.0,213.86666666666667
0 days 00:03:58,166.0,219.76666666666668
0 days 00:03:59,141.0,223.0
